ID,URL,ชื่ออาคาร,ราคาค่าเช่า,ที่อยู่,จำนวนชั้น,รวมพื้นที่เช่าทั้งหมด,Lat,Lon,Remark
38,https://www.cbre.co.th/th/rent/208-wireless-road,208 ไวร์เลส โรด,"1,060 บาท / ตรม. / เดือน",208 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330,18 ชั้น,"13,100 ตร.ม.",13.739424,100.546473,
39,https://www.cbre.co.th/th/rent/summer-point-phrakanong,ซัมเมอร์ พ้อยท์,800 - 850 บาท / ตรม. / เดือน,ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ 10110,5,"5,780 ตร.ม.",13.714861,100.592,
40,https://www.cbre.co.th/th/rent/fully-fitted-at-charn-issara-tower-ii,ชาญอิสสระ ทาวเวอร์ 2 - ออฟฟิศตกแต่งพร้อม,,ชั้น 19 อาคารชาญอิสสระ ทาวเวอร์ 2 ถนนเพชรบุรีตัดใหม่ กรุงเทพฯ,36,350,13.743073,100.58835,
41,https://www.cbre.co.th/th/rent/show-dc-rama9,โชว์ ดีซี,550 - 600 บาท / ตรม. / เดือน,ถนนจตุรทิศ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10310,5,"4,000 ตร.ม.",13.750208,100.57256,
42,https://www.cbre.co.th/th/rent/m2-rattanatibet,เอ็มทู,,ถนนรัตนาธิเบศร์ ตำบลบางกระสอ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,44 (เฟส 1),"15,513 ตร.ม.",13.861971,100.50257,
43,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-harindhorn-tower,อาคาร หะรินธร,850 บาท / ตรม. / เดือน,ถนนสาทรเหนือ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,18,"25,000 ตร.ม.",13.724638,100.538195,
44,https://www.cbre.co.th/th/rent/fully-fitted-office-space-all-seasons-place-ploenchit,สำนักงานให้เช่าตกแต่งพร้อม ซีอาร์ซี ทาวเวอร์ ออลซีซั่นส์ เพลส,,อาคารซีอาร์ซี ทาวเวอร์ ออล ซีซั่นส์ เพลส ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330,52,"63,000 ตร.ม.",13.739552,100.547776,
45,https://www.cbre.co.th/th/rent/mitr-town-office-tower-samyan,มิตรทาวน์ ออฟฟิศ ทาวเวอร์,"1,200 บาท / ตรม. / เดือน",หัวมุมถนนพญาไท-พระราม 4 เขต ปทุมวัน กรุงเทพฯ 10330,31,"48,000 ตร.ม.",13.73351,100.528284,
46,https://www.cbre.co.th/th/rent/o-nes-tower,โอ-เนส ทาวเวอร์,,ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,29,"46,000 ตร.ม. ",13.740571,100.554912,
47,https://www.cbre.co.th/th/rent/r064-royal-phuket-marina,รอยัล ภูเก็ต มาริน่า,,เกาะแก้ว,,,7.966375,98.390915,ภูเก็ต
48,https://www.cbre.co.th/th/rent/q-house-convent,คิวเฮ้าส์ คอนแวนต์,650 บาท / ตรม. / เดือน,ถนนคอนแวนต์,14 ชั้น,"18,000 ตร.ม.",13.724685,100.53414,
49,https://www.cbre.co.th/th/rent/park-ventures-the-ecoplex,ปาร์คเวนเชอร์ อีโคเพล็กซ์,"1,500 บาท / ตรม. / เดือน",แยกเพลินจิต-วิทยุ,34 ชั้น,"27,000 ตร.ม.",13.742749,100.547921,
50,https://www.cbre.co.th/th/rent/ocean-tower-ii,โอเชี่ยนทาวเวอร์ 2,550 - 680 บาท / ตรม. / เดือน,ถนนสุขุมวิท 21 (อโศก),42 ชั้น,"46,000 ตร.ม.",13.742676,100.561426,
51,https://www.cbre.co.th/th/rent/ocean-tower-i,โอเชี่ยนทาวเวอร์ 1,600 บาท / ตรม. / เดือน,ถนนรัชดาภิเษกตัดใหม่,32 ชั้น,"29,800 ตร.ม.",13.730237,100.560358,
52,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-zuellig-house,ซิลลิค เฮ้าส์,850 บาท / ตรม. / เดือน,ถนนสีลม,9 ชั้น,"5,670 ตร.ม.",13.728781,100.536063,
53,https://www.cbre.co.th/th/rent/sathorn-square,สาทร สแควร์,"1,100 บาท / ตรม. / เดือน",แยกสาทร-นราธิวาส,40 ชั้น,"72,000 ตร.ม.",13.722366,100.529387,
54,https://www.cbre.co.th/th/rent/interchange-21,อินเตอร์เชนจ์ 21,"1,200 บาท / ตรม. / เดือน",Asoke - Sukhumvit Intersection,35 storeys,"44,000 ตร.ม.",13.73655,100.562008,
55,https://www.cbre.co.th/th/rent/abdulrahim-place,อับดุลราฮิม เพลส,900 - 950 บาท / ตรม. / เดือน,ถนนพระรามสี่,34 ชั้น,"47,000 ตร.ม.",13.727103,100.540548,
56,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-goldenland-building,อาคาร โกลเด้นแลนด์,620 บาท / ตรม. / เดือน,ถนนราชดำริ ซอยมหาดเล็กหลวง,8 ชั้น,"12,966 ตร.ม.",13.741584,100.542197,
57,https://www.cbre.co.th/th/rent/the-ninth-tower-grand-rama-9-office-for-rent,เดอะไนน์ ทาวเวอร์ส แกรนด์ พระรามเก้า,850 บาท / ตรม. / เดือน,แยกรัชดาภิเษก - พระรามเก้า,"36 ชั้น (อาคารเอ), 34 ชั้น (อาคารบี)","33,898 ตร.ม.",13.757789,100.565736,
58,https://www.cbre.co.th/th/rent/commercal-bangkok-office-for-rent-g-tower,จี ทาวเวอร์,"1,050 บาท / ตรม. / เดือน",ถนนพระราม 9,"36 ชั้น (ตึกทางเหนือ), 26 ชั้น (ตึกทางใต้)","66,000 ตร.ม.",13.75642913,100.5655105,
59,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-liberty-square,ลิเบอร์ตี้ แสควร์,720 บาท / ตรม. / เดือน,แยกสีลม - ซอยคอนแวนต์,23 ชั้น,"19,500 ตร.ม.",13.727595,100.532922,
60,https://www.cbre.co.th/th/rent/tonson-tower,ต้นสน ทาวเวอร์,970 บาท / ตรม. / เดือน,ถนนเพลินจิต,19 ชั้น,"22,776 ตร.ม.",13.743236,100.545679,
61,https://www.cbre.co.th/th/rent/ploenchit-tower,เพลินจิต ทาวเวอร์,950 บาท / ตรม. / เดือน,ถนนเพลินจิต,22 ชั้น,"32,000 ตร.ม.",13.743319,100.544818,
62,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-cw-tower,ซีดับเบิลยู ทาวเวอร์,770 - 800 บาท / ตรม. / เดือน,แยกรัชดาภิเษก-เทียมร่วมมิตร,"48 ชั้น, 43 ชั้น","61,815 ตร.ม.",13.76957,100.57374,
63,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-white-group,"อาคาร ไวท์กรุ๊ป 1, 2",520 - 550 บาท / ตรม. / เดือน,,"7 ชั้น, 16 ชั้น","15,800 ตร.ม.",13.714752,100.586416,
64,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-rasa-towers,รสาทาวเวอร์,690 บาท / ตรม. / เดือน,ถนนพหลโยธิน,"28 ชั้น (ทาวเวอร์ 1), 29 ชั้น (ทาวเวอร์ 2)","21,700 ตร.ม.",13.819745,100.563553,
65,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-q-house-asoke,คิวเฮ้าส์ อโศก,650 บาท / ตรม. / เดือน,ถนนสุขุมวิท 21 (อโศก),23 ชั้น,"20,000 ตร.ม.",13.745193,100.563309,
66,https://www.cbre.co.th/th/rent/commercal-bangkok-office-for-rent-metropolis,เมโทรโพลิส,"1,100 บาท / ตรม. / เดือน",ถนนสุขุมวิท,21 ชั้น,"13,900 ตร.ม.",13.72998062,100.5706331,
67,https://www.cbre.co.th/th/rent/wave-place-partly-fitted,อาคารเวฟเพลส - พื้นที่ตกแต่งบางส่วน,"1,100 บาท / ตรม. / เดือน",ถนนเพลินจิต ลุมพินี ปทุมวัน กรุงเทพฯ 10330,21,"20,000 ตร.ม.",13.74358,100.547905,
68,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-wave-place,อาคาร เวฟเพลส,"1,100 บาท / ตรม. / เดือน",แยกเพลินจิต-วิทยุ,21 ชั้น,"20,000 ตร.ม.",13.74358,100.547905,
